TXT_MES_NOTIFIC,2015,2016,2017,2018,2019,2020,2021,max (2015-2019),min (2015-2019),mean (2015-2019)
01. Janeiro,346.0,358.0,755.0,831.0,909.0,1259.0,33364.0,909.0,346.0,640.0
02. Fevereiro,493.0,565.0,829.0,665.0,1225.0,1473.0,29767.0,1225.0,493.0,755.0
03. Março,823.0,2883.0,1623.0,1327.0,2333.0,17253.0,33715.0,2883.0,823.0,1798.0
04. Abril,959.0,9301.0,2194.0,3328.0,3375.0,36918.0,28974.0,9301.0,959.0,3831.0
05. Maio,1473.0,7024.0,3247.0,4695.0,4347.0,44555.0,29997.0,7024.0,1473.0,4157.0
06. Junho,1365.0,4973.0,2757.0,4101.0,4435.0,47119.0,26849.0,4973.0,1365.0,3526.0
07. Julho,1153.0,3252.0,2131.0,3705.0,3648.0,52088.0,25363.0,3705.0,1153.0,2778.0
08. Agosto,859.0,2093.0,1660.0,2792.0,2673.0,48157.0,16678.0,2792.0,859.0,2015.0
09. Setembro,674.0,1562.0,1269.0,1857.0,2108.0,40996.0,0.0,2108.0,674.0,1494.0
10. Outubro,607.0,1126.0,1263.0,1536.0,1820.0,36557.0,0.0,1820.0,607.0,1270.0
11. Novembro,472.0,944.0,1035.0,1269.0,1338.0,32450.0,0.0,1338.0,472.0,1012.0
12. Dezembro,439.0,832.0,893.0,1036.0,1232.0,33000.0,0.0,1232.0,439.0,886.0
