,ANO_NOTIFICACAO,TXT_MES_NOTIFIC,0
0,2020,02. Fevereiro,2
1,2020,03. Março,1836
2,2020,04. Abril,16184
3,2020,05. Maio,33627
4,2020,06. Junho,31356
5,2020,07. Julho,31318
6,2020,08. Agosto,24124
7,2020,09. Setembro,17117
8,2020,10. Outubro,12649
9,2020,11. Novembro,16660
10,2020,12. Dezembro,26446
11,2021,01. Janeiro,31753
12,2021,02. Fevereiro,34270
13,2021,03. Março,88981
14,2021,04. Abril,64886
15,2021,05. Maio,51274
16,2021,06. Junho,41815
17,2021,07. Julho,21773
18,2021,08. Agosto,10196
