,ANO_NOTIFICACAO,TXT_MES_NOTIFIC,0
0,2020,03. Março,49
1,2020,04. Abril,1151
2,2020,05. Maio,3783
3,2020,06. Junho,2197
4,2020,07. Julho,1254
5,2020,08. Agosto,667
6,2020,09. Setembro,540
7,2020,10. Outubro,332
8,2020,11. Novembro,369
9,2020,12. Dezembro,439
10,2021,01. Janeiro,672
11,2021,02. Fevereiro,1357
12,2021,03. Março,3879
13,2021,04. Abril,3804
14,2021,05. Maio,2219
15,2021,06. Junho,1154
16,2021,07. Julho,487
17,2021,08. Agosto,160
