ANO_NOTIFICACAO,Média mensal de óbitos SRAG NE
2015,113.41666666666667
2016,399.8333333333333
2017,213.5
2018,292.1666666666667
2019,302.0833333333333
2020,6555.166666666667
2021,4764.25
