,ANO_NOTIFICACAO,TXT_MES_NOTIFIC,0
0,2020,01. Janeiro,6
1,2020,02. Fevereiro,3
2,2020,03. Março,77
3,2020,04. Abril,394
4,2020,05. Maio,819
5,2020,06. Junho,663
6,2020,07. Julho,464
7,2020,08. Agosto,323
8,2020,09. Setembro,274
9,2020,10. Outubro,219
10,2020,11. Novembro,177
11,2020,12. Dezembro,212
12,2021,01. Janeiro,216
13,2021,02. Fevereiro,245
14,2021,03. Março,321
15,2021,04. Abril,224
16,2021,05. Maio,182
17,2021,06. Junho,137
18,2021,07. Julho,102
19,2021,08. Agosto,67
