Assunto,Opinião original,Data,Fonte,Tipo de Fonte,Opinião nova,Data,Tempo em Dias,Fonte,Tipo de Fonte,Observações
Compra de vacinas,"“Toda e qualquer vacina está descartada por enquanto. A vacina precisa de comprovação científica para ser usada, não é como a hidroxicloroquina.””",10/21/20,https://www1.folha.uol.com.br/equilibrioesaude/2020/10/toda-e-qualquer-vacina-esta-descartada-diz-bolsonaro-apos-polemica-com-doria.shtml,Imprensa,"“Sempre afirmei que adotaríamos qualquer vacina, desde que aprovada pela Anvisa""”",03/23/21,153,https://www.youtube.com/watch?v=9lkEmxeTI-8,Redes Sociais,"Na contramão de demais líderes do mundo, Bolsonaro demorou mais de dois meses para defender abertamente um processo em massa de imunização no País. Nos primeiros momentos do debate, o presidente chegou a dizer que a “pressa” para a compra de imunizantes “não se justificava”; após o governador João Doria (PSDB-SP) iniciar processo de vacinação em São Paulo, no entanto, discurso do Planalto “virou”, negando que jamais tivesse rejeitado as vacinas"
“Vacina chinesa”,"“Tudo será esclarecido hoje. Tenha certeza, não compraremos vacina chinesa. Bom dia”",10/21/20,https://noticias.uol.com.br/politica/ultimas-noticias/2020/10/21/bolsonaro-responde-a-criticas-sobre-vacina-chinesa-nao-sera-comprada.htm,Imprensa,"Ressaltamos a urgência na imediata entrega do quantitativo contratado e acima mencionado, tendo em vista que este Ministério precisa fazer o devido loteamento para iniciar a logística de distribuição para todos os estados da federação de maneira simultânea e equitativa, conforme cronograma previsto no Plano Nacional de Operacionalização da vacinação contra a covid-19... - Veja mais em https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2021/01/15/ministerio-da-saude-requisita-entrega-imediata-de-6-milhoes-da-coronavac.htm?cmpid=copiaecola",01/15/21,86,https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2021/01/15/ministerio-da-saude-requisita-entrega-imediata-de-6-milhoes-da-coronavac.htm,Imprensa,"Objeto de disputa entre Jair Bolsonaro e o governador João Doria, a vacina chinesa coronavac foi inicialmente alvo de muitas críticas do governo federal, com o presidente chegando a anunciar que não compraria o imunizante. Quando o governo de São Paulo anunciou o início da aplicação da vacina, no entanto, o Planalto mudou o discurso e passou a requisitar a entrega de todos os lotes da coronavac para o Ministério da Saúde."
Queimadas na Amazônia,"“A Amazônia é dos brasileiros na cabeça dos europeus? Não. Não. [...] O primeiro mundo quer para eles administração dessa área. O Brasil é uma virgem que todo tarado de fora quer""",07/06/19,https://g1.globo.com/politica/noticia/2019/07/06/brasil-e-uma-virgem-que-todo-tarado-de-fora-quer-diz-bolsonaro-ao-falar-sobre-amazonia.ghtml,Imprensa,"“Historicamente, o Brasil é voz ativa na construção da agenda ambiental global (...) determinei que nossa neutralidade climática seja alcançada até 2050, antecipando em dez anos a sinalização anterior""",04/22/21,656,https://www.youtube.com/watch?v=179bjociEr0,Redes Sociais,"Inicialmente, Bolsonaro negou que houvesse problema real de queimadas na Amazônia, chegando a acusar ONGs estrangeiras de iniciarem propositalmente as queimadas; mais recentemente, o presidente adotou tom mais conciliador, prometendo antecipar metas de redução de impactos ambientais do País"
Interferência na Petrobras,"Os preços praticados pela Petrobras deverão seguir os mercados internacionais, mas as flutuações de curto prazo deverão ser suavizadas com mecanismos de hedge apropriados",08/16/18,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000614517/proposta_1534284632231.pdf,TSE,"Da nossa parte eu troquei o comando da Petrobras. No começo foi um escândalo. É para interferir mesmo, eu sou o presidente""",05/28/21,1016,https://economia.uol.com.br/noticias/reuters/2021/05/28/bolsonaro-defende-interferencia-na-petrobras-e-fala-em-previsibilidade-para-combustiveis.htm,Imprensa,"Plano de governo falava em política de preços seguindo o mercado internacional, com possibilidade de intervenções apenas através de fundos de hedge; na prática, presidente trocou o presidente da Petrobras e indicou, sem passar pelos conselhos da estatal, um general aliado de postura intervencionista"
Criação de novas estatais,"Plano de governo prometia “desmobilização de ativos públicos, com o correspondente resgate da dívida mobiliária federal”, prometendo privatizações e extinções de estatais, com preservação apenas de uma “minoria estratégica”",08/16/18,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000614517/proposta_1534284632231.pdf,TSE,"Até hoje, não houve privatização ou extinção de nenhuma grande empresa estatal, tendo o presidente na verdade criado duas novas estatais",05/17/21,1005,https://www.poder360.com.br/governo/a-revelia-de-guedes-governo-cria-duas-novas-estatais-da-area-militar/,Imprensa,"Plano de governo prometia “desmobilização de ativos públicos, com o correspondente resgate da dívida mobiliária federal”, prometendo privatizações e extinções de estatais, com preservação apenas de uma “minoria estratégica”; até hoje, não houve privatização ou extinção de nenhuma grande empresa estatal, tendo o presidente na verdade criado duas novas estatais, ambas na área militar"
Indicações em bancos públicos,"“Não vai ter mais indicação pro BNDES, Banco do Brasil, Caixa Econômica, Banco da Amazônia, Banco do Nordeste, com esse critério: botar lá indicação de um amigo pra que use a instituição pra causa própria”",09/24/18,https://jovempan.com.br/eleicoes-2018/presidenciais/acompanhe-a-entrevista-em-video-de-jair-bolsonaro.html,Imprensa,Lideranças do Centrão admitem que o presidente recebeu indicações dos partidos para a presidência de bancos públicos,05/31/20,615,https://www.poder360.com.br/governo/bolsonaro-dara-presidencia-do-banco-do-nordeste-ao-pl-diz-jornal/,Imprensa,"Dentro do discurso contra “toma lá, dá cá”, um dos pontos defendidos com maior rigor pelo presidente era o fim de indicações políticas em bancos públicos. Na prática, no entanto, os órgãos têm tido diretorias indicadas por partidos políticos; em junho de 2020, indicado pelo centrão para o comando do Banco do Nordeste foi demitido 24h após tomar posse"
Privatização da Eletrobras,"““Eu sou favorável a privatizar muitas coisas. Mas a questão energética, não. Você está tirando de uma estatal brasileira para botar nas mãos de uma estatal chinesa. Ou seja, esses [chineses] vão decidir o preço da nossa energia e onde, com toda a certeza, no futuro, vai chegar essa energia”",10/09/18,"https://www.correiobraziliense.com.br/app/noticia/politica/2018/10/09/interna_politica,711837/bolsonaro-volta-a-criticar-privatizacao-da-eletrobras.shtml",Imprensa,"“""Pessoal que é contra a corrupção, tá de brincadeira. Se não privatizar, isso acaba que vamos ter um caos no sistema energético do Brasil”",06/16/21,981,https://www.youtube.com/watch?v=yCqYynH2P-8,Redes Sociais,"Enquanto era deputado, Jair Bolsonaro sempre foi crítico ferrenho de privatizações no País; ainda mais recentemente, quando passou a adotar discurso mais liberal, ele mantinha resistências a privatizações de áreas “estratégicas”, incluindo a Eletrobras, estatal que teve a desestatização aprovada pelo Congresso neste ano"
Conta de luz de Igrejas,O presidente chegou a pedir que o Ministério da Economia elaborasse uma minuta avaliando a possibilidade de subsídio estatal para conta de energia de templos religiosos,01/10/20,"https://politica.estadao.com.br/noticias/geral,bolsonaro-quer-subsidiar-conta-de-luz-de-igrejas,70003151328",Imprensa,“Falei com o Silas Câmara (presidente da bancada evangélica na Câmara) e com o (missionário) R. R. Soares e está suspensa qualquer negociação nesse sentido”,01/15/20,5,"https://www.em.com.br/app/noticia/politica/2020/01/15/interna_politica,1114514/bolsonaro-volta-atras-nao-dara-isencao-a-conta-de-luz-de-igrejas.shtml",Imprensa,"No início de 2020, o presidente pediu que ministérios do governo elaborassem uma minuta avaliando a possibilidade de concessão de subsídios para a conta de energia de templos religiosos. A medida foi comemorada por lideranças evangélicas, mas acabou derrubada após o presidente destacar política do Ministério da Economia contra a concessão de subsídios estatais"
China e pandemia,"“É um vírus novo, ninguém sabe se nasceu em laboratório ou nasceu por algum ser humano ingerir um animal inadequado. Mas está aí. Os militares sabem o que é guerra química, bacteriológica e radiológica. Será que estamos enfrentando uma nova guerra? Qual país que mais cresceu seu PIB? Não vou dizer para vocês””",05/05/21,https://g1.globo.com/jornal-nacional/noticia/2021/05/05/bolsonaro-volta-a-insinuar-que-a-china-teria-criado-o-coronavirus-propositalmente.ghtml,Imprensa,"“Esta parceria se tem mostrado essencial para a gestão adequada da pandemia no Brasil, tendo em vista que parcela expressiva das vacinas oferecidas à população brasileira é produzida com insumos originários da China""",09/09/21,127,https://g1.globo.com/politica/noticia/2021/09/09/em-reuniao-do-brics-bolsonaro-diz-que-parceria-com-a-china-e-essencial-para-a-gestao-adequada-da-pandemia.ghtml,Imprensa,"Em diversos momentos, o presidente insinuou que a China teria tido participação na “criação” do coronavírus, chegando a criticar crescimento econômico registrado pelo País durante a pandemia. Após pressão de ruralistas, no entanto, o presidente mudou o discurso e passou a destacar parceria com o governo chinês."
Embaixada em Jerusalém ,"“Como afirmado durante a campanha, pretendemos transferir a Embaixada do Brasil de Tel Aviv para Jerusalém. Israel é um Estado soberano e nós o respeitamos.”",11/01/18,https://twitter.com/jairbolsonaro/status/1058079511395401728,Redes Sociais,"Quase três anos após a fala do presidente, promessa nunca saiu do papel; em 2019, Brasil abriu escritório comercial em Jerusalém",03/31/19,150,https://www1.folha.uol.com.br/mundo/2019/03/bolsonaro-anuncia-a-criacao-de-escritorio-comercial-em-jerusalem.shtml,Imprensa,"Logo após ser eleito, Jair Bolsonaro anunciou intenção de transferir embaixada brasileira em Israel de Tel Aviv para Jerusalém; medida causou grande comoção na comunidade internacional, mas nunca saiu do papel por pressão de grandes importadores árabes"
